description,poster,rating,title,votes
Mickey Mouse takes on new adventures finding himself in silly situations in different settings.,"https://m.media-amazon.com/images/M/MV5BODRlNTk4ZDktNzg4NC00MWRmLWE0ODctOWRkNTE1MGEyNTk5XkEyXkFqcGdeQXVyMzM4NjcxOTc@._V1_QL75_UX190_CR0,2,190,281_.jpg",8.1,Mickey Mouse,2.7K
Daily Planet intern Clark Kent takes learning-on-the-job to new extremes when Lobo and Parasite set their sights on Metropolis.,"https://m.media-amazon.com/images/M/MV5BYTQ2M2M2OTYtM2Y1ZC00Y2ExLTk0NTQtNDViYWU4YjhjN2I5XkEyXkFqcGdeQXVyNzU3NjUxMzE@._V1_QL75_UX190_CR0,2,190,281_.jpg",6.4,Superman: Man of Tomorrow,5.7K
"They've travelled through space. They've travelled through time. Now, they'll have to travel through dimensions as their galaxy seems to rip itself apart. Ratchet and Clank must save the universe - again.","https://m.media-amazon.com/images/M/MV5BMDBjZDFkNjgtOWM5Zi00YzA5LWJmZjgtOGZhMTI3MmI2MDVlXkEyXkFqcGdeQXVyNzEzNjU1NDg@._V1_QL75_UY281_CR11,0,190,281_.jpg",9.1,Ratchet & Clank: Rift Apart,595
The zany adventures of a trio of 1930s animated characters in the modern world.,"https://m.media-amazon.com/images/M/MV5BOTgyNzQ1YzctMTVmNi00NThiLWFmOGYtOTJlYmY5NTQwYzA4XkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_QL75_UY281_CR4,0,190,281_.jpg",7.9,Animaniacs,22K
A perfect couple struggles under a secret longing each has for someone else.,"https://m.media-amazon.com/images/M/MV5BMDA4ZjY5NGEtZjI2Ni00MjYwLWE0NGItN2JhMzU3Mzc2ZmQ2L2ltYWdlXkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_QL75_UX190_CR0,6,190,281_.jpg",6.8,Scum's Wish,1.5K
A demon mage reincarnates into the body of his descendant hoping to find an era where he can have some peace and quiet. He ends up going to a school run by his significantly weaker descendants.,"https://m.media-amazon.com/images/M/MV5BNzUwNzc0NTEtOTdhMi00NmQ2LWI2NGUtZWU0Yzc3MWViOGRhXkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_QL75_UX190_CR0,2,190,281_.jpg",7.3,Mao Gakuin no Futekigosha,1.9K
The story of a young delivery boy who becomes a drift-racing legend.,"https://m.media-amazon.com/images/M/MV5BNDQ1MTQ2OTA1M15BMl5BanBnXkFtZTcwNDIxNzcyMQ@@._V1_QL75_UY281_CR2,0,190,281_.jpg",8.4,Initial D: First Stage,2.7K
"Tokyo has been decimated by a terrorist attack, and the only clue to the culprit's identity is a bizarre internet video. While paranoia spreads, two mysterious children form ""Sphinx,"" a clandestine entity determined to pull the trigger on this world.","https://m.media-amazon.com/images/M/MV5BMDMzNGEyNzItOTEyYi00MzQxLTgxOGQtZGJkZTRmNjUzN2Y3XkEyXkFqcGdeQXVyMjQ1NjEyNzE@._V1_QL75_UX190_CR0,0,190,281_.jpg",7.9,Zankyô no teroru,9.3K
"After being married an entire year, Jane thinks back on some of her and Tarzan's adventures as she searches for something special to mark the occasion with.","https://m.media-amazon.com/images/M/MV5BMjAwMTM5NzM4OF5BMl5BanBnXkFtZTcwOTE2NDkyMQ@@._V1_QL75_UY281_CR4,0,190,281_.jpg",5.3,Tarzan & Jane,6.1K
"13-year old Rachel awakens to find herself trapped in the basement of an unfamiliar building. Upon meeting a serial killer wrapped in bandages, she begs him to kill her. As his only wish is to leave the building alive, he agrees to do so if she would help him escape. A strange bond is struck between them, held by a bizarre promise. These two, trapped in this building,...","https://m.media-amazon.com/images/M/MV5BOWRjMzU2NTYtMGRlOS00YjQwLWFiYWQtODFlOGNiNmU4OTVlXkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_QL75_UX190_CR0,2,190,281_.jpg",6.4,Satsuriku no Tenshi,1.5K
